filename,x_box,y_box,w,h,X0,Y0,X1,Y1,X2,Y2,X3,Y3,X4,Y4
1761.jpg,253.0,233.0,97.5,83.75,350.0,232.5,252.5,232.5,252.5,316.25,350.0,316.25,350.0,232.5
2029.jpg,126.0,345.0,138.75,126.25,265.0,345.0,126.25,345.0,126.25,471.25,265.0,471.25,265.0,345.0
128.jpg,324.0,275.0,66.25,70.0,390.0,275.0,323.75,275.0,323.75,345.0,390.0,345.0,390.0,275.0
332.jpg,251,359,140,155,391.25,358.75,251.25,358.75,251.25,513.75,391.25,513.75,391.25,358.75
1091.jpg,270,263,125,120,395.0,262.5,270.0,262.5,270.0,382.5,395.0,382.5,395.0,262.5
1216.jpg,268.0,156.0,145.0,112.5,412.5,156.25,267.5,156.25,267.5,268.75,412.5,268.75,412.5,156.25
637.jpg,224.0,255.0,95.0,106.25,318.75,255.0,223.75,255.0,223.75,361.25,318.75,361.25,318.75,255.0
630.jpg,135.0,164.0,147.5,167.5,282.5,163.75,135.0,163.75,135.0,331.25,282.5,331.25,282.5,163.75
2014.jpg,285.0,256.0,90.0,127.5,375.0,256.25,285.0,256.25,285.0,383.75,375.0,383.75,375.0,256.25
233.jpg,285.0,329.0,101.25,105.0,386.25,328.75,285.0,328.75,285.0,433.75,386.25,433.75,386.25,328.75
1151.jpg,214,344,65,90,278.75,343.75,213.75,343.75,213.75,433.75,278.75,433.75,278.75,343.75
2038.jpg,208.0,318.0,57.5,65.0,265.0,317.5,207.5,317.5,207.5,382.5,265.0,382.5,265.0,317.5
596.jpg,186.0,198.0,196.25,211.25,382.5,197.5,186.25,197.5,186.25,408.75,382.5,408.75,382.5,197.5
196.jpg,241.0,384.0,136.25,122.5,377.5,383.75,241.25,383.75,241.25,506.25,377.5,506.25,377.5,383.75
1912.jpg,196.0,268.0,120.0,102.5,316.25,267.5,196.25,267.5,196.25,370.0,316.25,370.0,316.25,267.5
1538.jpg,234.0,206.0,133.75,115.0,367.5,206.25,233.75,206.25,233.75,321.25,367.5,321.25,367.5,206.25
1778.jpg,110.0,295.0,132.5,97.5,242.5,295.0,110.0,295.0,110.0,392.5,242.5,392.5,242.5,295.0
1608.jpg,258.0,325.0,133.75,171.25,391.25,325.0,257.5,325.0,257.5,496.25,391.25,496.25,391.25,325.0
1644.jpg,203.0,335.0,93.75,130.0,296.25,335.0,202.5,335.0,202.5,465.0,296.25,465.0,296.25,335.0
930.jpg,200.0,379.0,105.0,86.25,305.0,378.75,200.0,378.75,200.0,465.0,305.0,465.0,305.0,378.75
1190.jpg,299.0,195.0,171.25,125.0,470.0,195.0,298.75,195.0,298.75,320.0,470.0,320.0,470.0,195.0
70.jpg,225.0,275.0,83.75,91.25,308.75,275.0,225.0,275.0,225.0,366.25,308.75,366.25,308.75,275.0
2069.jpg,319.0,294.0,81.25,76.25,400.0,293.75,318.75,293.75,318.75,370.0,400.0,370.0,400.0,293.75
579.jpg,329.0,219.0,206.25,161.25,535.0,218.75,328.75,218.75,328.75,380.0,535.0,380.0,535.0,218.75
240.jpg,124.0,214.0,170.0,166.25,293.75,213.75,123.75,213.75,123.75,380.0,293.75,380.0,293.75,213.75
1335.jpg,316.0,224.0,75.0,73.75,391.25,223.75,316.25,223.75,316.25,297.5,391.25,297.5,391.25,223.75
1364.jpg,374.0,240.0,43.75,63.75,417.5,240.0,373.75,240.0,373.75,303.75,417.5,303.75,417.5,240.0
1105.jpg,258,176,190,150,447.5,176.25,257.5,176.25,257.5,326.25,447.5,326.25,447.5,176.25
1906.jpg,359.0,224.0,100.0,88.75,458.75,223.75,358.75,223.75,358.75,312.5,458.75,312.5,458.75,223.75
2060.jpg,234.0,263.0,160.0,136.25,393.75,262.5,233.75,262.5,233.75,398.75,393.75,398.75,393.75,262.5
2124.jpg,320.0,271.0,120.0,102.5,440.0,271.25,320.0,271.25,320.0,373.75,440.0,373.75,440.0,271.25
